Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0764663345100397,-0.000229531562488846,0.181636131257506,0,0,0,223.948097033883,11.0992460163212,-9.27482890673143E-06,-0.00666552626229685,35.7194887329074,-0.00132353434901016,40.7580735087335,0,0,0,0,0,0,package://carver_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/base_link.STL,,body-2;electronic_box-1;seat-1;alu30_85-1;alu30_85-2;alu30_300-1;alu30_300-2;alu30_300-3;alu30_300-4;alu30_350-3;alu30_350-4;alu30_1130-3;alu30_1130-4;alu30_524-1;tag-1;hand-1;base_C16-1;base_realsense-1;basse_c1m1-2;alu30_300-5;base_IMU-1;alu30_300-6;plate_L515V2-1;base_sickV2-1;spacer-2;spacer-1;spacer-3;spacer-4;basse_c1m1_V2-1;basse_c1m1_V3-1;Carver_2_IMU_Support_Proto.step-1;basse_c1m1_V2-2,Base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_sterring_Link,-6.87012402522669E-09,3.51066137271872E-09,-0.0112499999237069,0,0,0,0.0307417074716638,5.15827058483555E-06,2.8769471120572E-08,-2.37787643348346E-12,5.94711293506547E-06,1.79592218428258E-13,8.17709432093611E-06,0,0,0,0,0,0,package://carver_description/meshes/front_right_sterring_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/front_right_sterring_Link.STL,,Part99-1,SRF_cs,SRF_axis,base_front_right_sterring_joint,revolute,0.639118924633511,-0.284499999999994,-0.158749999999999,0,0,0,base_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
front_right_wheel_Link,0.00138386531093282,8.32667268468867E-17,0.0379747931765428,0,0,0,5.024500013847,0.0459745995956163,8.76811449306156E-19,0.00152760354434749,0.0459189311540779,2.23111290720865E-18,0.0878380602731089,0,0,0,0,0,0,package://carver_description/meshes/front_right_wheel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/front_right_wheel_Link.STL,,wheel-1,RF_cs,RF_axis,front_right_steering_front_right_wheel_joint,continuous,-0.00404234340824972,-0.110926369542007,-0.0112500000000002,-1.5707963267949,0,0,front_right_sterring_Link,0.036417508182449,0,0.999336662540598,100,100,,,,,,,,,,
front_left_sterring_Link,7.10743075504894E-09,-3.0012958229797E-09,-0.0112499999237069,0,0,0,0.0307417074716638,5.15827283476504E-06,-2.88003004005144E-08,2.38464111309773E-12,5.94711068513598E-06,-6.03807311086712E-15,8.17709432093612E-06,0,0,0,0,0,0,package://carver_description/meshes/front_left_sterring_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/front_left_sterring_Link.STL,,Part99-2,SLF_cs,SLF_axis,base_front_left_sterring_joint,revolute,0.639118924633511,0.284499999999994,-0.158749999999999,0,0,0,base_link,0,0,-1,100,100,-3.14,3.14,,,,,,,,
front_left_wheel_Link,0.00138386531093293,1.11022302462516E-16,-0.0379747931765427,0,0,0,5.02450001384701,0.0459745995956163,6.00533124713408E-19,-0.00152760354434749,0.0459189311540779,-2.40802616071845E-18,0.0878380602731089,0,0,0,0,0,0,package://carver_description/meshes/front_left_wheel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/front_left_wheel_Link.STL,,wheel-4,LF_cs,LF_axis,front_left_steering_front_left_wheel_joint,continuous,-0.00404234340824972,0.110926369542007,-0.0112500000000002,-1.5707963267949,0,0,front_left_sterring_Link,0.036417508182449,0,-0.999336662540598,100,100,,,,,,,,,,
rear_right_wheel_Link,-2.22044604925031E-16,-5.55111512312578E-17,0.0379999999999999,0,0,0,5.024500013847,0.0459189311540779,-1.5630404854802E-17,1.47187955412238E-19,0.045918931154078,2.42166025109452E-19,0.0878937287146473,0,0,0,0,0,0,package://carver_description/meshes/rear_right_wheel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/rear_right_wheel_Link.STL,,wheel-2,RB_cs,RB_axis,base_rear_right_wheel_joint,continuous,-0.636881075366491,-0.3955,-0.17,-1.5707963267949,0,0,base_link,0,0,1,100,100,,,,,,,,,,
rear_left_wheel_Link,-1.11022302462516E-16,-5.55111512312578E-17,-0.038,0,0,0,5.024500013847,0.0459189311540779,-1.69340415001856E-17,-3.38442117988331E-20,0.0459189311540779,-2.9515497839225E-19,0.0878937287146472,0,0,0,0,0,0,package://carver_description/meshes/rear_left_wheel_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/rear_left_wheel_Link.STL,,wheel-3,LB_cs,LB_axis,base_rear_left_wheel_joint,continuous,-0.636881075366491,0.3955,-0.17,-1.5707963267949,0,0,base_link,0,0,-1,100,100,,,,,,,,,,
C16_Link,-0.000884749784506395,1.07190642272942E-07,0.00143612694647377,0,0,0,0.663324628749119,0.000791421263365419,1.38226469562467E-09,-5.15681751766988E-06,0.000800507843146539,1.51968163394193E-09,0.000866550903215115,0,0,0,0,0,0,package://carver_description/meshes/C16_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://carver_description/meshes/C16_Link.STL,,3DLIDAR_C16-1,C16_cs,C16_axis,base_C16_joint,fixed,0.237767026438191,0,1.56788196587259,0,0,0,base_link,0,0,0,,,,,,,,,,,,
T265_Link,-0.00700393876081717,-0.00123869269728773,-9.55081819781212E-06,0,0,0,0.0153522629829022,1.39361946583913E-05,1.34672770579497E-08,1.90513550225715E-09,9.41413823478556E-07,4.3667500037622E-09,1.32399745397931E-05,0,0,0,0,0,0,package://carver_description/meshes/T265_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://carver_description/meshes/T265_Link.STL,,Intel_RealSense_Tracking_Camera_T265-2,T265_cs,T265_axis,base_T265_joint,fixed,0.914568924633506,0.000699999999822833,0.423999999999455,0,0,0,base_link,0,0,0,,,,,,,,,,,,
L515_Link,-0.0138329335160925,0.000212766276144195,-0.0151333320328252,0,0,0,0.0519003008833496,2.29233885806633E-05,-3.43966785553731E-08,-9.60811102903896E-09,1.23501086319306E-05,1.73643710033919E-07,1.35094237257254E-05,0,0,0,0,0,0,package://carver_description/meshes/L515_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://carver_description/meshes/L515_Link.STL,,Intel RealSense L515-1,L515_cs,L515_axis,base_L515_joint,fixed,0.929717002207267,-1.17161560733146E-05,-0.0149951470092575,0,0,0,base_link,0,0,0,,,,,,,,,,,,
